,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan
114,EBI-2008-37a,N Japan,43.6,141.5,0,0,0,1,0,0,0,0
115,EBI-2008-37b,N Japan,43.6,141.5,0,0,0,1,0,0,0,0
116,EBI-2008-37d,N Japan,43.6,141.5,0,0,0,1,0,0,0,0
117,EBI-2008-37e,N Japan,43.6,141.5,0,0,0.2,0.8,0,0,0.1,0
118,EBI-2008-39b,N Japan,43.6,141.3,0,0,0,1,0,0,0,0
119,EBI-2008-39c,N Japan,43.6,141.3,0,0,0,1,0,0,0,0
120,EBI-2008-39d,N Japan,43.6,141.3,0,0,0,1,0,0,0,0
121,EBI-2008-39e,N Japan,43.6,141.3,0,0,0,1,0,0,0,0
122,EBI-2008-40b,N Japan,43.9,141.5,0,0,0,1,0,0,0,0
123,EBI-2008-41a,N Japan,43.8,142.5,0,0,0,1,0,0,0,0
124,EBI-2008-41c,N Japan,43.8,142.5,0,0,0,1,0,0,0,0
125,EBI-2008-41d,N Japan,43.8,142.5,0,0,0,1,0,0,0,0
126,EBI-2008-42a,N Japan,43.6,142.6,0,0,0,1,0,0,0,0
127,EBI-2008-42b,N Japan,43.6,142.6,0,0,0,1,0,0,0,0
128,EBI-2008-43a,N Japan,43.6,142.7,0,0,0,1,0,0,0,0
129,EBI-2008-43b,N Japan,43.6,142.7,0,0,0,1,0,0,0,0
130,EBI-2008-43c,N Japan,43.6,142.7,0,0,0,1,0,0,0,0
131,EBI-2008-43d,N Japan,43.6,142.7,0,0,0,1,0,0,0,0
132,EBI-2008-45b,N Japan,43.6,142.7,0,0,0,1,0,0,0,0
133,EBI-2008-45c,N Japan,43.6,142.7,0,0,0,1,0,0,0,0
134,EBI-2008-45d,N Japan,43.6,142.7,0,0,0,1,0,0,0,0
135,EBI-2008-45e,N Japan,43.6,142.7,0,0,0,1,0,0,0,0
136,EBI-2008-46c,N Japan,43.6,142.8,0,0,0,0.9,0,0,0.1,0
137,EBI-2008-46d,N Japan,43.6,142.8,0,0,0,1,0,0,0,0
138,EBI-2008-46e,N Japan,43.6,142.8,0,0,0,0.9,0,0,0,0
139,EBI-2008-47a,N Japan,43.7,142.4,0,0,0,1,0,0,0,0
140,EBI-2008-47b,N Japan,43.7,142.4,0,0,0,1,0,0,0,0
141,EBI-2008-47c,N Japan,43.7,142.4,0,0,0,1,0,0,0,0
142,EBI-2008-47d,N Japan,43.7,142.4,0,0,0,1,0,0,0,0
