"","names","x","Ind.SNP","PC","Trait"
"80","SE.mean",0.00815558556626873,"OWA102","PC1~2","OWA19 "
"81","CI.mean.0.95",0.0161824511307039,"OWA102","PC1~2","OWA19 "
"82","var",0.00665135759287308,"OWA102","PC1~2","OWA19 "
"83","std.dev",0.0815558556626873,"OWA102","PC1~2","OWA19 "
"84","coef.var",-0.919496608968909,"OWA102","PC1~2","OWA19 "
"85","nbr.val",100,"OWA102","PC1~3","OWA18 "
"86","nbr.null",0,"OWA102","PC1~3","OWA18 "
"87","nbr.na",0,"OWA102","PC1~3","OWA18 "
"88","min",-0.294730990679741,"OWA102","PC1~3","OWA18 "
"89","max",0.023599765289622,"OWA102","PC1~3","OWA18 "
"90","range",0.318330755969363,"OWA102","PC1~3","OWA18 "
"91","sum",-14.3618192161255,"OWA102","PC1~3","OWA18 "
"92","median",-0.143523234616497,"OWA102","PC1~3","OWA18 "
"93","mean",-0.143618192161255,"OWA102","PC1~3","OWA18 "
"94","SE.mean",0.00568187199329165,"OWA102","PC1~3","OWA18 "
"95","CI.mean.0.95",0.0112740667258334,"OWA102","PC1~3","OWA18 "
"96","var",0.00322836693481521,"OWA102","PC1~3","OWA18 "
"97","std.dev",0.0568187199329165,"OWA102","PC1~3","OWA18 "
"98","coef.var",-0.395623417046779,"OWA102","PC1~3","OWA18 "
"99","nbr.val",100,"OWA102","PC1~3","OWA19 "
"100","nbr.null",0,"OWA102","PC1~3","OWA19 "
"101","nbr.na",0,"OWA102","PC1~3","OWA19 "
"102","min",-0.327593055165328,"OWA102","PC1~3","OWA19 "
"103","max",0.0229631170626426,"OWA102","PC1~3","OWA19 "
"104","range",0.350556172227971,"OWA102","PC1~3","OWA19 "
"105","sum",-10.4931030844582,"OWA102","PC1~3","OWA19 "
"106","median",-0.0796967040298299,"OWA102","PC1~3","OWA19 "
"107","mean",-0.104931030844582,"OWA102","PC1~3","OWA19 "
"108","SE.mean",0.00778678799331715,"OWA102","PC1~3","OWA19 "
"109","CI.mean.0.95",0.0154506767347495,"OWA102","PC1~3","OWA19 "
"110","var",0.00606340672528681,"OWA102","PC1~3","OWA19 "
"111","std.dev",0.0778678799331715,"OWA102","PC1~3","OWA19 "
"112","coef.var",-0.742086295220957,"OWA102","PC1~3","OWA19 "
"113","nbr.val",100,"OWA112","NOPC","OWA18 "
"114","nbr.null",0,"OWA112","NOPC","OWA18 "
"115","nbr.na",0,"OWA112","NOPC","OWA18 "
"116","min",-0.221451198718001,"OWA112","NOPC","OWA18 "
