Entry1,Accession ,group,Entry
Miscanthus sinensis  'PMS-087',PMS-087,M. sinensis,151
Miscanthus sinensis  'PMS-088',PMS-088,M. sinensis,152
Miscanthus sinensis  'PMS-130',PMS-130,M. sinensis,153
Miscanthus sinensis  'PMS-131',PMS-131,M. sinensis,154
Miscanthus sinensis  'PMS-161',PMS-161,M. sinensis,155
Miscanthus sinensis  'PMS-164',PMS-164,M. sinensis,156
Miscanthus sinensis  'PMS-204',PMS-204,M. sinensis,157
Miscanthus sinensis  'PMS-226',PMS-226,M. sinensis,158
Miscanthus sinensis  'PMS-227',PMS-227,M. sinensis,159
Miscanthus sinensis  'PMS-300',PMS-300,M. sinensis,160
Miscanthus sinensis  'PMS-303',PMS-303,M. sinensis,161
Miscanthus sinensis  'PMS-351',PMS-351,M. sinensis,162
Miscanthus sinensis  'PMS-359',PMS-359,M. sinensis,163
Miscanthus sinensis  'PMS-375',PMS-375,M. sinensis,164
Miscanthus sinensis  'PMS-381',PMS-381,M. sinensis,165
Miscanthus sinensis  'PMS-382',PMS-382,M. sinensis,166
Miscanthus sinensis  'PMS-425',PMS-425,M. sinensis,167
Miscanthus sinensis  'PMS-436',PMS-436,M. sinensis,168
Miscanthus sinensis  'PMS-438',PMS-438,M. sinensis,169
