filename,Effect,DAPC_group,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,lambda,BackLSmeans,Backupper.CL,Backlower.CL
Cml,DAPC_group,Korea/N China,51.1884664,8.391799495,39.6805599,6.09982,3.53E-07,0.05,34.22375276,68.15318003,0.975,56.30622139,75.14059646,37.63092471
Cml,DAPC_group,M. sacchariflorus 2x,76.36440588,6.544370236,18.25141802,11.66871725,1.00E-09,0.05,62.62875767,90.10005409,0.975,84.30156091,99.68062178,68.99269561
Cml,DAPC_group,Ornamental,96.63735092,5.124467497,6.867889098,18.85802788,3.60E-07,0.05,84.47249847,108.8022034,0.975,107.0215967,120.7149623,93.37200775
Cml,DAPC_group,US naturalized,102.6031293,5.53411871,9.348470001,18.54010272,1.10E-08,0.05,90.15485809,115.0514005,0.975,113.7318257,127.7648023,99.74210844
Cml,DAPC_group,M. xgiganteus 2x,123.4761909,8.403620773,48.69122181,14.69321312,0,0.05,106.5857734,140.3666085,0.975,137.2843019,156.4182435,118.2170055
Cml,DAPC_group,SE China/tropical,125.8072666,5.373861336,8.313475263,23.41096258,7.00E-09,0.05,113.4959855,138.1185478,0.975,139.9212434,153.868032,126.0091777
Cml,DAPC_group,Yangtze-Qinling,128.3696158,5.329368984,8.040107246,24.08720736,9.00E-09,0.05,116.0907317,140.6484999,0.975,142.8212377,156.7380964,128.9382505
Cml,DAPC_group,Sichuan,147.5818516,5.621275119,9.956909228,26.25415916,0,0.05,135.0495189,160.1141844,0.975,164.6101994,178.8630027,150.3882184
Cml,DAPC_group,M. xgiganteus 3x,151.2020962,8.403620773,48.69122181,17.99249399,0,0.05,134.3116787,168.0925137,0.975,168.7243851,187.951587,149.5519178
CmN,DAPC_group,Korea/N China,1.74117323,0.178338305,8.812260705,9.763316011,5.09E-06,0.05,1.336429996,2.145916465,0.325,3.974275432,5.093851626,3.033934901
CmN,DAPC_group,Ornamental,2.881058859,0.121741281,1.971189708,23.6654225,0.00191477,0.05,2.349843031,3.412274687,0.325,7.638766056,9.934634876,5.730983038
CmN,DAPC_group,US naturalized,3.007524021,0.128501082,2.446518613,23.40465914,0.000613456,0.05,2.540912463,3.474135579,0.325,8.14874465,10.22893231,6.374833825
CmN,DAPC_group,Yangtze-Qinling,3.233337022,0.125095811,2.199799854,25.8468848,0.000893685,0.05,2.739330598,3.727343446,0.325,9.115626615,11.49493977,7.093349969
CmN,DAPC_group,M. sacchariflorus 2x,3.459164225,0.146106146,4.086833337,23.67569274,1.58E-05,0.05,3.05688519,3.86144326,0.325,10.15717511,12.20636697,8.353873011
CmN,DAPC_group,Sichuan,3.657172776,0.129754455,2.546734271,28.1853349,0.000302013,0.05,3.199378734,4.114966819,0.325,11.13407962,13.63147154,8.965529419
CmN,DAPC_group,SE China/tropical,4.073879715,0.126060644,2.268992629,32.31682459,0.00045234,0.05,3.588675287,4.559084143,0.325,13.39327087,16.3913391,10.78927632
CmN,DAPC_group,M. xgiganteus 2x,4.089102036,0.178909665,9.160680393,22.85567996,2.00E-09,0.05,3.685459802,4.492744269,0.325,13.48119116,15.95711316,11.27861432
CmN,DAPC_group,M. xgiganteus 3x,4.316281629,0.178909665,9.160680393,24.12548052,1.00E-09,0.05,3.912639395,4.719923862,0.325,14.84000783,17.4770782,12.48562576
Yld,DAPC_group,Korea/N China,2.155323129,0.392317646,81.5190313,5.49382153,4.37E-07,0.05,1.374809409,2.935836848,0.025,8.160133259,16.99799226,3.864030948
Yld,DAPC_group,M. sacchariflorus 2x,3.566831507,0.281187375,31.07823955,12.68489208,0,0.05,2.993404585,4.140258428,0.025,30.46768029,51.40379782,17.93386317
Yld,DAPC_group,Ornamental,3.994800793,0.176514667,4.852720865,22.63155163,4.16E-06,0.05,3.536881916,4.452719671,0.025,45.04582753,68.16066486,29.64102542
Yld,DAPC_group,US naturalized,4.044554009,0.208865644,9.539585559,19.3643815,6.00E-09,0.05,3.576109758,4.512998261,0.025,47.12908582,71.95720205,30.72830416
Yld,DAPC_group,Yangtze-Qinling,5.586466059,0.194500522,7.177222367,28.72211339,1.10E-08,0.05,5.128837594,6.044094525,0.025,186.6540411,278.3285901,124.6712287
Yld,DAPC_group,M. xgiganteus 3x,6.652809559,0.396741756,112.9866184,16.7686145,1.95E-32,0.05,5.866791577,7.438827541,0.025,470.6656213,918.244255,238.5255046
Yld,DAPC_group,M. xgiganteus 2x,6.975734116,0.420392951,134.4744578,16.59336603,2.41E-34,0.05,6.144296837,7.807171395,0.025,620.2165893,1251.187191,303.6138959
Yld,DAPC_group,Sichuan,7.261100639,0.219876046,11.65127336,33.02360937,0,0.05,6.780436754,7.741764525,0.025,790.2301686,1184.51074,525.0144225
Yld,DAPC_group,SE China/tropical,7.283378764,0.201193096,8.215597507,36.20093776,0,0.05,6.821537397,7.74522013,0.025,805.2680244,1187.945036,543.784892
