Entry1,filename,Effect,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,lambda,BackLSmeans,Backupper.CL,Backlower.CL,Individual,DAPC.group,Latitude,Longitude,group
M. sinensis  'Border Bandit',CmN,Entry1,3.091164457,0.418400494,132,7.388051648,0,0.05,2.263526925,3.918801989,0.325,8.498358429,12.51952876,5.455112819,UI10-00033,Ornamental,NA,NA,M. sinensis
M. sinensis  'Dixieland',CmN,Entry1,2.661661117,0.275123463,132,9.674424305,0,0.05,2.117439714,3.205882521,0.325,6.805914976,8.994146302,5.008877729,UI10-00036,Ornamental,NA,NA,M. sinensis
M. sinensis  'Emerald Shadow',CmN,Entry1,3.667131327,0.214304925,132,17.11174548,2.61E-35,0.05,3.243215003,4.09104765,0.325,11.1848201,13.49245654,9.159604051,UI10-00038,Ornamental,NA,NA,M. sinensis
M. sinensis  'Emmanuel LePage',CmN,Entry1,2.989083098,0.220278806,132,13.56954468,8.36E-27,0.05,2.553349847,3.424816349,0.325,8.072991391,9.993832463,6.418359313,UI10-00039,Ornamental,NA,NA,M. sinensis
M. sinensis  'Flamingo',CmN,Entry1,3.008310985,0.214304925,132,14.03752615,5.87E-28,0.05,2.584394662,3.432227309,0.325,8.151988042,10.02892442,6.52787715,UI11-00024,Ornamental,NA,NA,M. sinensis
M. sinensis  'Giraffe',CmN,Entry1,2.987481315,0.214304925,132,13.94032973,1.02E-27,0.05,2.563564991,3.411397638,0.325,8.066433973,9.930504016,6.4542576,UI10-00042,Ornamental,NA,NA,M. sinensis
M. sinensis  'Gold and Silver',CmN,Entry1,1.877180437,0.251768806,132,7.455969105,0,0.05,1.379156854,2.37520402,0.325,4.329689291,5.81379192,3.1252231,UI10-00043,Ornamental,NA,NA,M. sinensis
M. sinensis  'Goliath',CmN,Entry1,2.995491266,0.214304925,132,13.97770615,8.23E-28,0.05,2.571574942,3.419407589,0.325,8.099261298,9.968273595,6.482500964,UI10-00047,Ornamental,NA,NA,M. sinensis
M. sinensis  'Gracillimus Nana',CmN,Entry1,1.838014822,0.220278151,132,8.344063243,0,0.05,1.402282867,2.273746777,0.325,4.225230914,5.487297553,3.175397719,UI10-00051,Ornamental,NA,NA,M. sinensis
M. sinensis  'Gracillimus'--PI295764,CmN,Entry1,4.185671627,0.214304925,132,19.53138329,9.29E-41,0.05,3.761755304,4.609587951,0.325,14.04804554,16.72720705,11.67475612,PI295764,SE China/tropical,NA,NA,M. sinensis
M. sinensis  'Gracillimus'--UI10-00048,CmN,Entry1,2.773291848,0.214304925,132,12.94086849,3.04E-25,0.05,2.349375525,3.197208172,0.325,7.2215651,8.955992568,5.729464054,UI10-00048,Ornamental,NA,NA,M. sinensis
M. sinensis  'Graziella',CmN,Entry1,2.524765905,0.313545563,132,8.052309475,0,0.05,1.904541791,3.14499002,0.325,6.318625635,8.728619143,4.403689769,UI10-00052,Ornamental,NA,NA,M. sinensis
M. sinensis  'Grosse Fontaine',CmN,Entry1,3.03976624,0.227479822,132,13.36279503,2.72E-26,0.05,2.589788667,3.489743813,0.325,8.282342361,10.30410556,6.547033469,UI10-00053,Ornamental,NA,NA,M. sinensis
M. sinensis  'Haiku',CmN,Entry1,2.229700896,0.23795374,132,9.370312461,0,0.05,1.759004878,2.700396914,0.325,5.349495765,6.948263139,4.019707107,UI12-00005,Ornamental,NA,NA,M. sinensis
M. sinensis  'Huron Blush',CmN,Entry1,2.478425231,0.214304925,132,11.56494762,0,0.05,2.054508907,2.902341554,0.325,6.15916748,7.723036909,4.824497839,UI10-00056,Ornamental,NA,NA,M. sinensis
M. sinensis  'Huron Sentinel',CmN,Entry1,2.675404558,0.313529848,132,8.533173394,0,0.05,2.055211529,3.295597588,0.325,6.856192464,9.395210241,4.826530728,UI10-00057,Ornamental,NA,NA,M. sinensis
M. sinensis  'July (Juli)',CmN,Entry1,2.833026948,0.214304925,132,13.2196073,6.17E-26,0.05,2.409110625,3.256943272,0.325,7.450864667,9.22096073,5.92576056,UI10-00060,Ornamental,NA,NA,M. sinensis
M. sinensis  'Kaskade',CmN,Entry1,3.107899781,0.214304925,132,14.5022322,4.27E-29,0.05,2.683983458,3.531816105,0.325,8.569505725,10.50859207,6.887703311,UI10-00061,Ornamental,NA,NA,M. sinensis
M. sinensis  'Kirk Alexander',CmN,Entry1,3.210964333,0.275131111,132,11.67066974,0,0.05,2.666727801,3.755200866,0.325,9.016549308,11.64036111,6.824421308,UI10-00062,Ornamental,NA,NA,M. sinensis
M. sinensis  'Kleine Fontaine',CmN,Entry1,2.487020614,0.227476536,132,10.93308636,0,0.05,2.037049541,2.936991687,0.325,6.188536551,7.861576216,4.774168258,UI10-00063,Ornamental,NA,NA,M. sinensis
M. sinensis  'Kleine Silberspinne (Little Silver Spider)',CmN,Entry1,2.60334965,0.251768806,132,10.3402391,0,0.05,2.105326067,3.101373233,0.325,6.595361613,8.541711621,4.973022909,UI10-00064,Ornamental,NA,NA,M. sinensis
M. sinensis  'Little Nickey (syn. Hinjo)',CmN,Entry1,3.290791255,0.313529848,132,10.49594249,0,0.05,2.670598226,3.910984285,0.325,9.373423837,12.47653088,6.838581104,UI10-00066,Ornamental,NA,NA,M. sinensis
M. sinensis  'Minuette',CmN,Entry1,3.123205424,0.214304925,132,14.57365213,2.86E-29,0.05,2.699289101,3.547121748,0.325,8.634926002,10.58365721,6.944164436,UI10-00070,Ornamental,NA,NA,M. sinensis
M. sinensis  'Morning Light',CmN,Entry1,3.180603059,0.313545563,132,10.14399002,0,0.05,2.560378944,3.800827173,0.325,8.883260744,11.88121369,6.443046618,UI10-00071,Ornamental,NA,NA,M. sinensis
M. sinensis  'Mt. Washington',CmN,Entry1,2.362121592,0.228829059,132,10.32264697,0,0.05,1.909475096,2.814768088,0.325,5.770974951,7.380262324,4.417122391,UI10-00072,Ornamental,NA,NA,M. sinensis
