Effect,DAPC_group,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,filename
DAPC_group,M. xgiganteus 2x,1.277369358,0.096276106,102.9657054,13.26777136,5.07E-24,0.05,1.086427654,1.468311063,Lsmean.CmD_BI.xlsx
DAPC_group,M. xgiganteus 3x,1.956405023,0.096276106,102.9657054,20.32077439,8.14E-38,0.05,1.765463319,2.147346727,Lsmean.CmD_BI.xlsx
DAPC_group,Ornamental,1.087610015,0.0276023,1,39.40286952,0.0161532,0.05,0.736889479,1.438330552,Lsmean.CmD_BI.xlsx
DAPC_group,SE China/tropical,1.782535635,0.0353054,1.88430036,50.48906062,0.000573542,0.05,1.621330879,1.94374039,Lsmean.CmD_BI.xlsx
DAPC_group,Sichuan,1.66789725,0.0418259,3.736735063,39.87710664,4.72E-06,0.05,1.548470929,1.787323572,Lsmean.CmD_BI.xlsx
DAPC_group,US naturalized,1.207052967,0.0398628,3.053526374,30.28017607,6.92E-05,0.05,1.081440525,1.332665409,Lsmean.CmD_BI.xlsx
DAPC_group,Yangtze-Qinling,1.433012336,0.0340948,1.627363215,42.03026918,0.00182959,0.05,1.248917569,1.617107102,Lsmean.CmD_BI.xlsx
DAPC_group,Korea/N China,-0.065110823,0.170600561,4.881155759,-0.38165656,0.718764036,0.05,-0.506884602,0.376662955,Lsmean.CmD_LI.xlsx
DAPC_group,M. sacchariflorus 2x,0.293484773,0.142583055,2.385870876,2.05834257,0.154784782,0.05,-0.234074591,0.821044137,Lsmean.CmD_LI.xlsx
DAPC_group,M. xgiganteus 2x,0.632003405,0.174438314,5.336510502,3.623076776,0.0135488,0.05,0.191968151,1.072038659,Lsmean.CmD_LI.xlsx
DAPC_group,M. xgiganteus 3x,1.035734148,0.174438314,5.336510502,5.937538166,0.00154476,0.05,0.595698893,1.475769402,Lsmean.CmD_LI.xlsx
DAPC_group,Ornamental,0.527636646,0.119644176,1.183023713,4.410048742,0.112471715,0.05,-0.535399255,1.590672547,Lsmean.CmD_LI.xlsx
DAPC_group,SE China/tropical,1.172091341,0.123554906,1.346270277,9.486400655,0.0339056,0.05,0.297359577,2.046823104,Lsmean.CmD_LI.xlsx
DAPC_group,Sichuan,1.403630004,0.12730438,1.517285305,11.02577939,0.0197894,0.05,0.649784438,2.157475571,Lsmean.CmD_LI.xlsx
DAPC_group,US naturalized,0.70286428,0.126105051,1.459962783,5.573640992,0.0588603,0.05,-0.085704107,1.491432667,Lsmean.CmD_LI.xlsx
DAPC_group,Yangtze-Qinling,1.104977545,0.122852999,1.315800737,8.994306645,0.0384771,0.05,0.201981702,2.007973388,Lsmean.CmD_LI.xlsx
DAPC_group,Korea/N China,1.74117323,0.178338305,8.812260705,9.763316011,5.09E-06,0.05,1.336429996,2.145916465,Lsmean.CmN.xlsx
DAPC_group,M. sacchariflorus 2x,3.459164225,0.146106146,4.086833337,23.67569274,1.58E-05,0.05,3.05688519,3.86144326,Lsmean.CmN.xlsx
DAPC_group,M. xgiganteus 2x,4.089102036,0.178909665,9.160680393,22.85567996,2.00E-09,0.05,3.685459802,4.492744269,Lsmean.CmN.xlsx
DAPC_group,M. xgiganteus 3x,4.316281629,0.178909665,9.160680393,24.12548052,1.00E-09,0.05,3.912639395,4.719923862,Lsmean.CmN.xlsx
DAPC_group,Ornamental,2.881058859,0.121741281,1.971189708,23.6654225,0.00191477,0.05,2.349843031,3.412274687,Lsmean.CmN.xlsx
DAPC_group,SE China/tropical,4.073879715,0.126060644,2.268992629,32.31682459,0.00045234,0.05,3.588675287,4.559084143,Lsmean.CmN.xlsx
DAPC_group,Sichuan,3.657172776,0.129754455,2.546734271,28.1853349,0.000302013,0.05,3.199378734,4.114966819,Lsmean.CmN.xlsx
DAPC_group,US naturalized,3.007524021,0.128501082,2.446518613,23.40465914,0.000613456,0.05,2.540912463,3.474135579,Lsmean.CmN.xlsx
DAPC_group,Yangtze-Qinling,3.233337022,0.125095811,2.199799854,25.8468848,0.000893685,0.05,2.739330598,3.727343446,Lsmean.CmN.xlsx
DAPC_group,Korea/N China,51.1884664,8.391799495,39.6805599,6.09982,3.53E-07,0.05,34.22375276,68.15318003,Lsmean.Cml.xlsx
DAPC_group,M. sacchariflorus 2x,76.36440588,6.544370236,18.25141802,11.66871725,1.00E-09,0.05,62.62875767,90.10005409,Lsmean.Cml.xlsx
DAPC_group,M. xgiganteus 2x,123.4761909,8.403620773,48.69122181,14.69321312,0,0.05,106.5857734,140.3666085,Lsmean.Cml.xlsx
DAPC_group,M. xgiganteus 3x,151.2020962,8.403620773,48.69122181,17.99249399,0,0.05,134.3116787,168.0925137,Lsmean.Cml.xlsx
DAPC_group,Ornamental,96.63735092,5.124467497,6.867889098,18.85802788,3.60E-07,0.05,84.47249847,108.8022034,Lsmean.Cml.xlsx
DAPC_group,SE China/tropical,125.8072666,5.373861336,8.313475263,23.41096258,7.00E-09,0.05,113.4959855,138.1185478,Lsmean.Cml.xlsx
DAPC_group,Sichuan,147.5818516,5.621275119,9.956909228,26.25415916,0,0.05,135.0495189,160.1141844,Lsmean.Cml.xlsx
DAPC_group,US naturalized,102.6031293,5.53411871,9.348470001,18.54010272,1.10E-08,0.05,90.15485809,115.0514005,Lsmean.Cml.xlsx
DAPC_group,Yangtze-Qinling,128.3696158,5.329368984,8.040107246,24.08720736,9.00E-09,0.05,116.0907317,140.6484999,Lsmean.Cml.xlsx
DAPC_group,Korea/N China,2.155323129,0.392317646,81.5190313,5.49382153,4.37E-07,0.05,1.374809409,2.935836848,Lsmean.Yld.xlsx
DAPC_group,M. sacchariflorus 2x,3.566831507,0.281187375,31.07823955,12.68489208,0,0.05,2.993404585,4.140258428,Lsmean.Yld.xlsx
DAPC_group,M. xgiganteus 2x,6.975734116,0.420392951,134.4744578,16.59336603,2.41E-34,0.05,6.144296837,7.807171395,Lsmean.Yld.xlsx
DAPC_group,M. xgiganteus 3x,6.652809559,0.396741756,112.9866184,16.7686145,1.95E-32,0.05,5.866791577,7.438827541,Lsmean.Yld.xlsx
DAPC_group,Ornamental,3.994800793,0.176514667,4.852720865,22.63155163,4.16E-06,0.05,3.536881916,4.452719671,Lsmean.Yld.xlsx
DAPC_group,SE China/tropical,7.283378764,0.201193096,8.215597507,36.20093776,0,0.05,6.821537397,7.74522013,Lsmean.Yld.xlsx
DAPC_group,Sichuan,7.261100639,0.219876046,11.65127336,33.02360937,0,0.05,6.780436754,7.741764525,Lsmean.Yld.xlsx
DAPC_group,US naturalized,4.044554009,0.208865644,9.539585559,19.3643815,6.00E-09,0.05,3.576109758,4.512998261,Lsmean.Yld.xlsx
DAPC_group,Yangtze-Qinling,5.586466059,0.194500522,7.177222367,28.72211339,1.10E-08,0.05,5.128837594,6.044094525,Lsmean.Yld.xlsx
