#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
37938868	Sobic.001G001132	Sobic.001G001132.1	Sobic.001G001132.1.p		PTHR33698,PTHR33698:SF1					AT5G41470.1		Nuclear transport factor 2 (NTF2) family protein	LOC_Os03g64380.1		expressed protein
37937994	Sobic.001G001200	Sobic.001G001200.1	Sobic.001G001200.1.p	PF13812,PF01535,PF13041	PTHR24015,PTHR24015:SF521					AT5G52850.1		Pentatricopeptide repeat (PPR) superfamily protein	LOC_Os03g64370.1		pentatricopeptide, putative, expressed
37940174	Sobic.001G001300	Sobic.001G001300.1	Sobic.001G001300.1.p	PF00581,PF12368	PTHR22778,PTHR22778:SF18					AT1G17850.2		Rhodanese/Cell cycle control phosphatase superfamily protein	LOC_Os03g64350.1		rhodanese-like domain containing protein, putative, expressed
37945043	Sobic.001G001400	Sobic.001G001400.2	Sobic.001G001400.2.p		PTHR31008,PTHR31008:SF0					AT5G43310.2		COP1-interacting protein-related	LOC_Os03g64320.1		expressed protein
37945044	Sobic.001G001400	Sobic.001G001400.3	Sobic.001G001400.3.p		PTHR31008,PTHR31008:SF0					AT5G43310.3		COP1-interacting protein-related	LOC_Os03g64320.1		expressed protein
37943936	Sobic.001G001700	Sobic.001G001700.1	Sobic.001G001700.1.p												
37937818	Sobic.001G001800	Sobic.001G001800.1	Sobic.001G001800.1.p										LOC_Os03g64310.1		expressed protein
37937817	Sobic.001G001800	Sobic.001G001800.2	Sobic.001G001800.2.p										LOC_Os03g64310.1		expressed protein
37941755	Sobic.001G001900	Sobic.001G001900.1	Sobic.001G001900.1.p	PF08513,PF00400	PTHR22847,PTHR22847:SF429	KOG0266			GO:0005515	AT2G32700.6	LUH	LEUNIG_homolog	LOC_Os03g64300.1		THION30 - Plant thionin family protein precursor, expressed
37942038	Sobic.001G002000	Sobic.001G002000.1	Sobic.001G002000.1.p	PF00564,PF07714	PTHR31066,PTHR31066:SF7	KOG0192	2.7.11.1		GO:0005515,GO:0006468,GO:0004672	AT2G35050.1		Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain	LOC_Os07g25680.1		protein kinase domain containing protein, expressed
37941916	Sobic.001G002050	Sobic.001G002050.1	Sobic.001G002050.1.p												
37937897	Sobic.001G002100	Sobic.001G002100.2	Sobic.001G002100.2.p												
37941214	Sobic.001G002200	Sobic.001G002200.1	Sobic.001G002200.1.p	PF02736,PF00612,PF01843,PF00063	PTHR13140,PTHR13140:SF382		3.6.4.1	K10357	GO:0016459,GO:0005524,GO:0003774,GO:0005515	AT1G04160.1	ATXIB,XI-8,XI-B,XIB	myosin XI B	LOC_Os03g64290.1		myosin, putative, expressed
37944314	Sobic.001G002300	Sobic.001G002300.1	Sobic.001G002300.1.p	PF02458	PTHR31625,PTHR31625:SF7		2.3.1.115		GO:0016747	AT1G03940.1		HXXXD-type acyl-transferase family protein	LOC_Os02g28300.1		transferase family protein, putative, expressed
37939672	Sobic.001G002400	Sobic.001G002400.1	Sobic.001G002400.1.p	PF02225,PF05922,PF00082	PTHR10795,PTHR10795:SF346		3.4.14.10		GO:0006508,GO:0004252	AT2G04160.1	AIR3	Subtilisin-like serine endopeptidase family protein	LOC_Os08g23740.1		OsSub55 - Putative Subtilisin homologue, expressed
37940995	Sobic.001G002500	Sobic.001G002500.1	Sobic.001G002500.1.p	PF00847	PTHR31190,PTHR31190:SF3			K14516	GO:0006355,GO:0003700	AT3G23240.1	ATERF1,ERF1	ethylene response factor 1	LOC_Os03g64260.1		AP2 domain containing protein, expressed
37937874	Sobic.001G002600	Sobic.001G002600.1	Sobic.001G002600.1.p	PF04266	PTHR12963					AT2G20410.1		RNA-binding ASCH domain protein	LOC_Os03g64250.2		expressed protein
37937875	Sobic.001G002600	Sobic.001G002600.2	Sobic.001G002600.2.p	PF04266	PTHR12963					AT2G20410.1		RNA-binding ASCH domain protein	LOC_Os03g64250.2		expressed protein
37941376	Sobic.001G002650	Sobic.001G002650.1	Sobic.001G002650.1.p												
37939419	Sobic.001G002700	Sobic.001G002700.1	Sobic.001G002700.1.p	PF16891,PF00149	PTHR11668,PTHR11668:SF280	KOG0374	3.1.3.16	K06269	GO:0016787	AT1G64040.1	TOPP3	type one serine/threonine protein phosphatase 3	LOC_Os06g06880.1		Ser/Thr protein phosphatase family protein, putative, expressed
37944611	Sobic.001G002800	Sobic.001G002800.1	Sobic.001G002800.1.p	PF14389,PF04784	PTHR23054,PTHR23054:SF16					AT5G60720.1		Protein of unknown function, DUF547	LOC_Os03g64230.1		expressed protein
37944610	Sobic.001G002800	Sobic.001G002800.2	Sobic.001G002800.2.p	PF14389,PF04784	PTHR23054,PTHR23054:SF16					AT5G60720.1		Protein of unknown function, DUF547	LOC_Os03g64230.1		expressed protein
37944953	Sobic.001G002900	Sobic.001G002900.1	Sobic.001G002900.1.p												
37943967	Sobic.001G003000	Sobic.001G003000.1	Sobic.001G003000.1.p	PF02338	PTHR12419,PTHR12419:SF18	KOG2605	3.4.19.12			AT5G04250.1		Cysteine proteinases superfamily protein	LOC_Os03g64219.1		OTU-like cysteine protease family protein, putative, expressed
37941236	Sobic.001G003100	Sobic.001G003100.1	Sobic.001G003100.1.p	PF00118	PTHR11353,PTHR11353:SF11				GO:0005524	AT2G28000.1	CH-CPN60A,CPN60A,SLP	chaperonin-60alpha	LOC_Os03g64210.1		T-complex protein, putative, expressed
37942020	Sobic.001G003200	Sobic.001G003200.4	Sobic.001G003200.4.p	PF04545,PF04539,PF04542	PTHR30603,PTHR30603:SF9			K03086	GO:0016987,GO:0006355,GO:0006352,GO:0003700,GO:0003677	AT2G36990.1	ATSIG6,SIG6,SIGF,SOLDAT8	RNApolymerase sigma-subunit F	LOC_Os08g14450.1		RNA polymerase sigma factor, putative, expressed
37938168	Sobic.001G003300	Sobic.001G003300.1	Sobic.001G003300.1.p	PF00005,PF01061	PTHR19241,PTHR19241:SF200	KOG0061	3.6.3.19		GO:0016887,GO:0005524,GO:0016020	AT2G28070.1		ABC-2 type transporter family protein	LOC_Os03g64200.1		ABC-2 type transporter, putative, expressed
37938169	Sobic.001G003300	Sobic.001G003300.2	Sobic.001G003300.2.p	PF00005,PF01061	PTHR19241,PTHR19241:SF200	KOG0061	3.6.3.25		GO:0016887,GO:0005524,GO:0016020	AT2G28070.1		ABC-2 type transporter family protein	LOC_Os03g64200.1		ABC-2 type transporter, putative, expressed
37938334	Sobic.001G003400	Sobic.001G003400.2	Sobic.001G003400.2.p	PF00403	PTHR22814,PTHR22814:SF114	KOG1603			GO:0046872,GO:0030001	AT5G03380.1		Heavy metal transport/detoxification superfamily protein 	LOC_Os02g57360.1		heavy metal-associated domain containing protein, expressed
37938335	Sobic.001G003400	Sobic.001G003400.3	Sobic.001G003400.3.p	PF00403	PTHR22814,PTHR22814:SF114	KOG1603			GO:0046872,GO:0030001	AT5G03380.1		Heavy metal transport/detoxification superfamily protein 	LOC_Os02g57360.1		heavy metal-associated domain containing protein, expressed
37944545	Sobic.001G003500	Sobic.001G003500.1	Sobic.001G003500.1.p	PF05383	PTHR22792,PTHR22792:SF72			K18757		AT5G66100.1		winged-helix DNA-binding transcription factor family protein	LOC_Os03g06070.1		la domain containing protein, putative, expressed
37944546	Sobic.001G003500	Sobic.001G003500.2	Sobic.001G003500.2.p	PF05383	PTHR22792:SF72,PTHR22792			K18757		AT5G66100.1		winged-helix DNA-binding transcription factor family protein	LOC_Os03g06070.1		la domain containing protein, putative, expressed
37944547	Sobic.001G003500	Sobic.001G003500.3	Sobic.001G003500.3.p	PF05383	PTHR22792:SF72,PTHR22792			K18757		AT5G66100.1		winged-helix DNA-binding transcription factor family protein	LOC_Os03g06070.1		la domain containing protein, putative, expressed
37941920	Sobic.001G003600	Sobic.001G003600.1	Sobic.001G003600.1.p	PF00657	PTHR22835,PTHR22835:SF282		3.1.1.3		GO:0016788	AT1G75900.1		GDSL-like Lipase/Acylhydrolase superfamily protein	LOC_Os03g64170.1		GDSL-like lipase/acylhydrolase, putative, expressed
37944822	Sobic.001G003700	Sobic.001G003700.1	Sobic.001G003700.1.p	PF01554	PTHR11206,PTHR11206:SF93	KOG1347		K03327	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855	AT4G22790.1		MATE efflux family protein	LOC_Os03g64150.1		MATE efflux family protein, putative, expressed
37940249	Sobic.001G003900	Sobic.001G003900.1	Sobic.001G003900.1.p	PF07386,PF01535	PTHR24015,PTHR24015:SF662					AT1G13410.1		Tetratricopeptide repeat (TPR)-like superfamily protein	LOC_Os02g41560.1		pentatricopeptide, putative, expressed
37940432	Sobic.001G004000	Sobic.001G004000.1	Sobic.001G004000.1.p	PF11961,PF05003	PTHR31371,PTHR31371:SF4					AT5G51670.1		Protein of unknown function (DUF668)	LOC_Os03g64130.1		avr9/Cf-9 rapidly elicited protein, putative, expressed
37940814	Sobic.001G004100	Sobic.001G004100.2	Sobic.001G004100.2.p	PF00400	PTHR22847,PTHR22847:SF358	KOG2096			GO:0005515	AT4G00090.1		Transducin/WD40 repeat-like superfamily protein	LOC_Os03g64110.1		WD domain, G-beta repeat domain containing protein, expressed
37944954	Sobic.001G004200	Sobic.001G004200.1	Sobic.001G004200.1.p	PF04227	PTHR10584,PTHR10584:SF201			K16329	GO:0016798	AT1G50510.1		indigoidine synthase A family protein	LOC_Os08g39420.2		uncharacterized protein yeiN, putative, expressed
37943470	Sobic.001G004300	Sobic.001G004300.2	Sobic.001G004300.2.p		PTHR33306,PTHR33306:SF8								LOC_Os03g64100.1		expressed protein
37943471	Sobic.001G004300	Sobic.001G004300.3	Sobic.001G004300.3.p		PTHR33306,PTHR33306:SF8								LOC_Os03g64100.1		expressed protein
37942605	Sobic.001G004400	Sobic.001G004400.1	Sobic.001G004400.1.p	PF03810,PF08389,PF08767	PTHR11223			K14290	GO:0008536,GO:0006886	AT5G17020.1	ATCRM1,ATXPO1,HIT2,XPO1,XPO1A	exportin 1A			
37944815	Sobic.001G004500	Sobic.001G004500.1	Sobic.001G004500.1.p	PF03641	PTHR31223,PTHR31223:SF19			K06966		AT2G37210.2		lysine decarboxylase family protein	LOC_Os02g41770.1		uncharacterized protein PA4923, putative, expressed
37945088	Sobic.001G004550	Sobic.001G004550.1	Sobic.001G004550.1.p		PTHR34146										
