Effect,Entry1,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,filename
Entry1,M. ×giganteus  'Illinois',25.74732877,0.877374707,132,29.34587533,1.06E-59,0.05,24.01179487,27.48286266,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sacchariflorus  'PMS-071',17.60506125,0.704407401,132,24.99272613,6.81E-52,0.05,16.21167379,18.99844872,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sacchariflorus  'PMS-074',13.52386707,1.122559555,132,12.0473493,0,0.05,11.30333332,15.74440083,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sacchariflorus  'PMS-076',17.22679399,0.97689077,132,17.6343093,1.64E-36,0.05,15.29440749,19.15918049,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'Malepartus',14.98910314,0.704407401,132,21.27902564,1.70E-44,0.05,13.59571568,16.38249061,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-023',17.22572539,0.704407401,132,24.45420841,7.27E-51,0.05,15.83233792,18.61911285,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-067',18.01099298,0.704407401,132,25.5690002,5.60E-53,0.05,16.61760551,19.40438044,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-087',18.28284194,0.977495636,132,18.70375812,6.25E-39,0.05,16.34925895,20.21642492,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-088',16.16360196,0.977504506,132,16.53557795,5.76E-34,0.05,14.23000143,18.09720249,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-130',11.94339201,0.749351525,132,15.93830347,1.48E-32,0.05,10.46110062,13.42568339,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-131',9.14274121,0.97681325,132,9.359763707,0,0.05,7.210508051,11.07497437,Lsmean.Bcirc.xlsx
