Genotype,Species,DAPC group,Latitude,Longitude,South Japan,Central Japan,North Japan,Korea/N China,Sichuan,Yangtze-Qinling,SE China,Msa
JM0233.002,M. sinensis,S Japan,34.4,132.71,0.72,0.153,0.026,0.05,0.012,0.008,0.022,0.008
JM0239.001,M. sinensis,S Japan,36,138.12,0.907,0.074,0.001,0,0.004,0,0.012,0.001
JM0239.002,M. sinensis,S Japan,36,138.12,0.896,0.095,0.006,0.001,0,0.001,0,0
JM0295.001,M. sinensis,N Japan,42.499,141.271,0.006,0.044,0.94,0.004,0,0.001,0.001,0.004
JM0295.002,M. sinensis,N Japan,42.499,141.271,0.01,0.064,0.896,0.017,0.007,0.001,0.001,0.005
JM0296.001,M. sinensis,N Japan,42.498,141.148,0.018,0.011,0.943,0.006,0.001,0.003,0.009,0.008
JM0296.002,M. sinensis,N Japan,42.498,141.148,0.003,0.019,0.965,0.003,0,0,0.006,0.003
JM0297.001,M. sinensis,N Japan,42.498,141.149,0.007,0.016,0.971,0,0.004,0,0,0.002
JM0298.001,M. sinensis,N Japan,42.498,141.149,0.004,0.02,0.968,0.002,0,0.001,0.001,0.002
JM0298.002,M. sinensis,N Japan,42.498,141.149,0.004,0.019,0.941,0.012,0.01,0.002,0.004,0.008
JM0300.001,M. sinensis,N Japan,42.306,140.988,0.017,0.029,0.94,0.002,0.002,0.001,0,0.01
JM0300.002,M. sinensis,N Japan,42.306,140.988,0.017,0.045,0.928,0,0.001,0.002,0,0.007
JM0303.002,M. sinensis,N Japan,42.554,140.791,0.022,0.039,0.918,0.011,0,0.001,0,0.007
JM0304.001,M. sinensis,N Japan,42.554,140.798,0.005,0.031,0.945,0.008,0.003,0.001,0.003,0.005
JM0304.002,M. sinensis,N Japan,42.554,140.798,0,0.029,0.958,0.001,0.002,0.001,0.002,0.006
JM0307.001,M. sinensis,N Japan,42.579,140.455,0.006,0.044,0.946,0.001,0.001,0.001,0.001,0
JM0308.002,M. sinensis,N Japan,42.578,140.455,0.005,0.039,0.944,0,0,0,0.001,0.011
JM0310.001,M. sinensis,N Japan,42.542,140.864,0.007,0.067,0.896,0.017,0.005,0.001,0.001,0.006
JM0310.002,M. sinensis,N Japan,42.542,140.864,0.01,0.064,0.923,0.001,0,0,0,0.001
JM0311.001,M. sinensis,N Japan,42.542,140.864,0.037,0.054,0.882,0.002,0.001,0,0.022,0.001
JM0311.002,M. sinensis,N Japan,42.542,140.864,0.001,0.063,0.931,0.001,0,0,0,0.002
JM0315.001,M. sinensis,N Japan,42.542,140.862,0.029,0.048,0.906,0.003,0.006,0.001,0,0.006
JM0315.002,M. sinensis,N Japan,42.542,140.862,0.016,0.028,0.93,0.017,0,0.001,0.001,0.007
JM0317.001,M. sinensis,N Japan,42.862,140.694,0.015,0.006,0.945,0.011,0.011,0.001,0.001,0.008
JM0317.002,M. sinensis,N Japan,42.862,140.694,0.001,0.04,0.951,0,0.002,0.002,0.002,0.001
JM0318.001,M. sinensis,N Japan,42.87,140.598,0.002,0.016,0.97,0,0,0,0,0.01
JM0318.002,M. sinensis,N Japan,42.87,140.598,0.005,0.021,0.96,0.007,0.002,0,0,0.004
JM0319.001,M. sinensis,N Japan,42.869,140.597,0.001,0.002,0.994,0,0,0,0.001,0
JM0319.002,M. sinensis,N Japan,42.869,140.597,0.005,0.033,0.944,0.007,0,0.008,0.002,0.002
JM0325.001,M. sinensis,N Japan,43.39,141.578,0,0.002,0.993,0.002,0.001,0,0,0.002
JM0325.002,M. sinensis,N Japan,43.39,141.578,0,0.007,0.985,0.002,0,0,0.002,0.002
JM0326.001,M. sinensis,N Japan,43.323,141.81,0,0.01,0.984,0,0.002,0,0.001,0.002
JM0341.002,M. sinensis,N Japan,43.609,142.463,0.001,0.023,0.972,0,0.001,0,0,0.002
JM0342.001,M. sinensis,N Japan,43.512,142.583,0.003,0.017,0.956,0.01,0.007,0.002,0.001,0.005
JM0346.001,M. sinensis,N Japan,42.643,143.133,0.002,0.021,0.954,0.005,0,0.001,0.014,0.002
JM0346.002,M. sinensis,N Japan,42.643,143.133,0.004,0.041,0.927,0.01,0.004,0.006,0.003,0.004
JM0347.001,M. sinensis,N Japan,43.243,143.076,0.007,0.003,0.974,0.008,0,0.002,0.002,0.005
JM0353.001,M. sinensis,N Japan,42.053,143.31,0.001,0.09,0.901,0.001,0,0,0.001,0.006
JM0353.002,M. sinensis,N Japan,42.053,143.31,0.001,0.069,0.91,0.015,0.001,0.002,0.001,0.002
JM0358.001,M. sinensis,N Japan,42.133,142.9,0.005,0.068,0.916,0.007,0,0.001,0.001,0.001
JM0361.001,M. sinensis,S Japan,33.016,131.063,0.998,0.001,0.001,0,0,0,0,0
JM0361.002,M. sinensis,S Japan,33.016,131.063,0.969,0.016,0.001,0,0.001,0.001,0.012,0
JM0362.001,M. sinensis,S Japan,32.71,131.3,0.955,0.041,0.003,0,0,0,0.001,0
JM0362.002,M. sinensis,S Japan,32.71,131.3,0.907,0.084,0.005,0.002,0,0.001,0.001,0
KMS005,M. sinensis,Korea/N China,37.348,128.716,0.044,0.005,0.002,0.926,0,0.013,0.005,0.005
KMS008,M. sinensis,Korea/N China,36.696,127.013,0.059,0.004,0.001,0.924,0,0.007,0.001,0.004
KMS009,M. sinensis,Korea/N China,36.166,128.992,0.198,0.001,0,0.775,0,0.025,0,0
