,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan,Entry1,group,Entry
313,PMS-397,SE China/tropical,24.4,110,0,0.1,0,0,0.6,0,0,0.3,PMS-397,M. sinensis,142
321,PMS-425,Yangtze-Qinling,29.7,113.8,0.2,0.5,0,0,0.3,0,0,0,Miscanthus sinensis  'PMS-425',M. sinensis,167
329,PMS-436,Korea/N China,41.3,123.7,0.8,0.2,0,0,0,0,0,0,Miscanthus sinensis  'PMS-436',M. sinensis,168
337,PMS-438,Korea/N China,41.3,123.7,0.8,0.2,0,0,0,0,0,0,Miscanthus sinensis  'PMS-438',M. sinensis,169
345,DC-2010-001 A,US naturalized,38.9,-77,0,0,0.3,0.1,0,0.5,0,0,DC-2010-001 A,M. sinensis,1
353,DC-2010-001 E,US naturalized,38.9,-77,0,0,0.3,0.1,0,0.5,0,0,DC-2010-001 E,M. sinensis,2
361,KY-2009-001-B(20)-b,US naturalized,37.8,-83.7,0,0,0.3,0.1,0,0.5,0,0,KY-2009-001-B(20)-b,M. sinensis,5
369,KY-2009-001-B(20)-e,US naturalized,37.8,-83.7,0,0,0.3,0.1,0,0.5,0,0,KY-2009-001-B(20)-e,M. sinensis,6
377,KY-2009-001 C,US naturalized,37.8,-83.7,0,0,0.3,0.1,0,0.5,0,0,KY-2009-001 C,M. sinensis,3
385,KY-2009-001 D,US naturalized,37.8,-83.7,0,0,0.3,0.1,0.1,0.5,0,0,KY-2009-001 D,M. sinensis,4
393,NC-2010-001-009,US naturalized,35.5,-82.5,0,0,0.3,0,0,0.6,0,0,NC-2010-001-009,M. sinensis,100
401,NC-2010-001-010,US naturalized,35.5,-82.5,0,0,0.3,0,0,0.6,0,0,NC-2010-001-010,M. sinensis,101
409,NC-2010-001.5-B(18)-a,US naturalized,35.5,-82.6,0,0,0.2,0,0,0.6,0,0,NC-2010-001.5-B(18)-a,M. sinensis,98
417,NC-2010-001.5-B(18)-b,US naturalized,35.5,-82.6,0,0,0.3,0,0,0.6,0,0,NC-2010-001.5-B(18)-b,M. sinensis,99
425,NC-2010-001.5 C,US naturalized,35.5,-82.6,0,0,0.3,0,0.1,0.6,0,0,NC-2010-001.5 C,M. sinensis,97
433,NC-2010-001 B,US naturalized,35.5,-82.5,0,0,0.2,0,0,0.7,0,0,NC-2010-001 B,M. sinensis,96
441,NC-2010-001-B(44)-e,US naturalized,35.5,-82.5,0,0,0.2,0,0,0.6,0,0,NC-2010-001-B(44)-e,M. sinensis,102
449,NC-2010-002-001,US naturalized,35.8,-82.6,0,0,0.2,0,0,0.6,0,0,NC-2010-002-001,M. sinensis,103
457,NC-2010-002-002,US naturalized,35.8,-82.6,0,0,0.3,0,0,0.7,0,0,NC-2010-002-002,M. sinensis,104
465,NC-2010-003-001,US naturalized,35.6,-82.6,0,0,0.3,0,0,0.6,0,0,NC-2010-003-001,M. sinensis,107
473,NC-2010-003-B(50)-a,US naturalized,35.6,-82.6,0,0,0.2,0,0,0.7,0,0,NC-2010-003-B(50)-a,M. sinensis,108
481,NC-2010-003-B(50)-b,US naturalized,35.6,-82.6,0,0,0.2,0,0,0.7,0,0,NC-2010-003-B(50)-b,M. sinensis,109
