<phenotype>,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9,Trait10,Trait11,Trait12,Trait13,Trait14,Trait15,Trait16,Trait17,Trait18
PMS.381,1.118851204,0.261425348,0.754769518,0.247063567,0.56367021,7.695904421,2.487757957,1.232721995,1.16532587,-0.039158649,-2.704279025,-1.872102322,3.608756378,0.000446543,2.605376035,-0.938603696,1.995016485,2.192150738
PMS.397,1.343270041,50.62827421,0.600483104,0.651368468,1.298566379,1.701278314,2.829162113,1.104872615,1.199759821,-0.041705197,0.204605129,-0.397817468,1.234199111,0.00017481,2.911617585,-0.757151355,1.658519671,2.44982089
PMS.425,0.937945094,21.9635554,0.096923689,0.531807016,0.28351964,1.313768209,1.715414481,1.034347642,1.139975314,0.090370445,0.202757492,-0.703905764,-2.586165271,0.000112241,2.033717662,0.242575762,0.954885366,1.71116016
PMS.436,-1.692368245,-66.32094282,-0.663770118,-0.788585588,-1.224324746,-1.060161151,-2.188279057,-1.215265527,NA,-0.033109203,-2.618607507,1.747890899,3.542883098,-1.20422E-05,-2.46390419,-1.248552582,-1.712355022,-2.073117015
PMS.438,-1.586747267,-35.07363804,-0.675895465,-0.635204401,-1.332780003,-0.559023212,-2.393148524,-1.183421998,-1.594438778,-0.041705197,0.204605129,1.544513334,3.272683486,-0.000180012,-2.333385628,1.618667912,-2.17993759,-1.963299331
UI10.00012.Cabaret,0.277077807,-3.651691423,0.156628794,0.298964604,0.318879273,0.622985704,0.18837278,0.213360133,0.045463481,-0.041705197,0.204605129,-0.303428809,-0.49455455,0.000108686,0.267118509,-0.814986021,0.601027225,0.224752216
UI10.00015.Cosmopolitan,1.023634427,1.146488307,0.510849935,0.757906725,-0.005107724,1.600735866,0.373880306,0.117224325,-0.122598704,-0.041705197,0.204605129,-0.625684528,-0.418078887,0.000323775,0.204718211,0.117051796,1.760692803,0.172248908
UI10.00017.condensatus,0.116579921,0.230825255,0.014606562,0.086354417,-0.052117589,1.055260533,-0.59446103,-0.17296454,-0.291564668,-0.041705197,0.204605129,-0.206488533,-0.35289574,-0.000157461,-0.587430058,0.03515018,0.196945376,-0.494260797
UI10.00020.Adagio,-1.444933179,-42.57589451,-0.68720207,-0.676121084,-1.135648691,-1.523310791,-1.871258077,-1.039735855,-2.212015396,-0.038857381,0.202615415,-1.628318749,7.633927259,0.000146647,-2.066803267,0.072402424,-1.902623876,-1.738998227
UI10.00021.Allegro,-0.516117667,-7.841102514,-0.247327032,-0.238790074,-0.375175269,-0.163720375,0.033606109,0.185351452,0.216295893,-0.042669239,0.205515805,0.11596875,-5.295538544,-0.000202562,0.243553825,0.48375902,-0.77680245,0.204925005
UI10.00022.Altweibersommer,0.261421674,44.31216754,0.143505976,-0.3424802,0.587938684,3.583663646,1.195195663,0.854243623,0.785535884,-0.04019175,0.200877944,0.920784971,-1.408940166,-0.000202703,1.362273451,0.297798922,-0.108037908,1.146210263
UI10.00023.Andante,0.030876105,4.35895116,0.011136113,-0.126321185,-0.353179891,-1.257895468,-1.604321849,-0.74891396,-0.663383073,-0.041705197,0.204605129,-0.914800717,0.404436422,-6.87867E-05,-1.457543255,0.960816236,-0.066517412,-1.226369814
UI10.00024.Arabesque,-0.479621385,-4.50774572,-0.21993147,-0.312980274,-0.586916076,0.663627679,-0.441951062,-0.211456155,-0.472035539,-0.037472089,0.199668157,-0.964504845,-1.586507987,9.05988E-05,-0.345027934,1.175421667,-0.788339179,-0.290304828
UI10.00025.Autumn.Light,-0.435542926,-12.19747177,-0.362656011,-0.222226577,-0.347544265,-1.858098442,-0.848459418,-0.289343077,-0.606122355,-0.037472089,0.196370482,1.278885248,1.039051373,3.43741E-05,-0.751788444,0.247541708,-0.783878429,-0.632551144
UI10.00026.Ben.Graz,-0.841216038,-10.09365713,-0.255446061,-0.431249402,-0.513479069,-3.425807442,-1.801938488,-0.935329317,-1.160022837,-0.041705197,0.204605129,-0.625684528,1.176849177,-0.000180012,-1.803275501,0.819162034,-1.166915007,-1.517267245
UI10.00027.Ben.Rotkopf,0.823498131,2.053005451,0.298077954,0.268590656,0.285483311,-2.27204731,0.469104877,0.391105242,0.480256847,0.272410465,0.189943926,-1.383522643,-1.004637213,-0.000116225,0.613128878,-0.389463791,1.159663229,0.515883659
UI10.00028.Berlin,-0.737795467,-18.50814557,-0.246104319,-0.178272876,-0.031632475,-3.573685141,-0.747762563,-0.421849757,0.272725716,-0.036781674,0.203539381,-0.034281993,-2.449386974,-0.000183382,-0.842832014,-0.659688282,-0.849400564,-0.709154762
UI10.00029.Bitsy.Ben,-1.350395262,-25.40017527,-0.687262335,-0.822714643,-0.208630663,-4.96188635,-1.820708482,-1.015403615,-0.806357469,-0.031148831,0.187775519,-0.413046854,3.030277409,-0.000116225,-1.958289377,-0.539621138,-2.326092378,-1.647695168
UI10.00030.Blondo,-0.174774364,11.87737,-0.153099741,-0.246617021,0.046029698,0.409595702,0.510452251,0.402966746,0.284778877,-0.041705197,0.204605129,0.899480522,-3.876948025,-0.000157461,0.608360852,0.344726483,-0.556771185,0.511871865
UI10.00031.Bluetenwunder,-1.830120784,-60.4981669,-0.514313782,-0.649177916,-0.711147122,-2.233809242,-1.258580318,-0.746423876,-0.398368849,-0.035220681,0.192700408,-0.413046855,2.62680265,-4.02894E-05,-1.347390025,-1.504862028,-1.819967931,-1.133687421
UI10.00032.Bodacious.Ben,0.703991537,26.24369729,0.247168916,0.162240393,0.022802808,2.241804724,1.133618895,0.81051601,0.521511587,-0.041705197,0.204605129,0.284357188,-3.256124779,-0.000180012,1.299564266,0.907368799,0.715906565,1.09344706
UI10.00033.Border.Bandit,-0.812486388,-26.39734926,-0.355195859,-0.845105315,-0.040623751,-0.890693418,-1.900448391,-1.062060276,NA,-0.022223037,0.17458651,-0.861093559,NA,NA,-2.195492051,-0.786090982,-1.333014771,-1.847276345
UI10.00036.Dixieland,-1.185786557,-17.56748684,-0.599395381,-0.767728122,-0.427033456,-1.863125897,-0.89205735,-0.581193673,-0.198172624,-0.034731053,0.194814715,1.464861612,-4.599371256,-0.000186949,-1.190841729,-0.250034211,-1.881739247,-1.001968445
UI10.00038.Emerald.Shadow,1.043485886,11.98069489,0.512876482,0.591904256,0.485986695,0.006593004,0.966603532,0.509324513,0.374646713,-0.041705197,0.204605129,-0.254006799,-1.903646797,0.000152136,0.963893419,-0.505058347,1.616712932,0.81101524
UI10.00039.Emmanuel.LePage,-0.671062632,-22.73867329,-0.213842472,-0.124191802,-0.148605925,-0.03884187,-0.917630367,-0.545388947,-0.617409756,-0.040911785,0.204459291,-0.397817468,3.678218415,-7.97426E-06,-0.952465555,-0.665880729,-0.657027209,-0.801399891
UI10.00042.Giraffe,-1.112138492,-24.17768673,-0.375028024,-0.356224492,-0.151658962,-0.707317617,-1.286601902,-0.790233375,-0.851323287,-0.041705197,0.204605129,1.285139882,2.500270731,-0.000202562,-1.463776416,-0.71409284,-1.365384416,-1.231614365
UI10.00043.Gold.and.Silver,-0.971505548,-22.53500936,-0.434124615,-0.502538687,-1.143902293,-2.540100205,-1.602000658,-0.942741595,-1.23465168,-0.037472089,0.196370482,-0.782266138,2.62680265,0.000343359,-1.785785589,2.104814221,-1.402471071,-1.502551318
UI10.00047.Goliath,0.295925539,17.29439308,0.23846763,0.457482084,-0.144144049,2.752876907,0.564216769,0.46651943,0.399141422,-0.041705197,0.204605129,1.46906971,-0.418078887,-0.000202562,0.79294719,0.961274364,0.570792843,0.667181913
UI10.00048.Gracillimus,-0.137617067,-9.602788533,-0.116683703,-0.021622221,-0.310274706,-1.077160298,-0.015776101,-0.023443981,-0.438760927,-0.042141266,0.205735637,0.626982334,-2.502102085,-7.97426E-06,-0.020843773,0.343998074,-0.180345326,-0.017537849
