"<phenotype>","Trait1","Trait2","Trait3","Trait4","Trait5","Trait6","Trait7","Trait8","Trait9","Trait10","Trait11","Trait12","Trait13","Trait14","Trait15","Trait16","Trait17","Trait18"
"UI10.00027.Ben.Rotkopf",0.823498131,2.053005451,0.298077954,0.268590656,0.285483311,-2.27204731,0.469104877,0.391105242,0.480256847,0.272410465,0.189943926,-1.383522643,-1.004637213,-0.000116225,0.613128877732356,-0.389463790540104,1.15966322895197,0.515883658896649
"UI10.00028.Berlin",-0.737795467,-18.50814557,-0.246104319,-0.178272876,-0.031632475,-3.573685141,-0.747762563,-0.421849757,0.272725716,-0.036781674,0.203539381,-0.034281993,-2.449386974,-0.000183382,-0.84283201403303,-0.659688282483309,-0.849400563847036,-0.709154761831301
"UI10.00029.Bitsy.Ben",-1.350395262,-25.40017527,-0.687262335,-0.822714643,-0.208630663,-4.96188635,-1.820708482,-1.015403615,-0.806357469,-0.031148831,0.187775519,-0.413046854,3.030277409,-0.000116225,-1.95828937741734,-0.539621137901871,-2.32609237799855,-1.64769516811252
"UI10.00030.Blondo",-0.174774364,11.87737,-0.153099741,-0.246617021,0.046029698,0.409595702,0.510452251,0.402966746,0.284778877,-0.041705197,0.204605129,0.899480522,-3.876948025,-0.000157461,0.608360852167373,0.344726483398515,-0.556771185295231,0.511871865388015
"UI10.00031.Bluetenwunder",-1.830120784,-60.4981669,-0.514313782,-0.649177916,-0.711147122,-2.233809242,-1.258580318,-0.746423876,-0.398368849,-0.035220681,0.192700408,-0.413046855,2.62680265,-0.0000403,-1.34739002547611,-1.50486202835684,-1.81996793091843,-1.13368742137381
"UI10.00032.Bodacious.Ben",0.703991537,26.24369729,0.247168916,0.162240393,0.022802808,2.241804724,1.133618895,0.81051601,0.521511587,-0.041705197,0.204605129,0.284357188,-3.256124779,-0.000180012,1.29956426618934,0.907368798711213,0.715906565345638,1.09344705983539
"UI10.00033.Border.Bandit",-0.812486388,-26.39734926,-0.355195859,-0.845105315,-0.040623751,-0.890693418,-1.900448391,-1.062060276,NA,-0.022223037,0.17458651,-0.861093559,NA,NA,-2.19549205095339,-0.786090982178123,-1.33301477116639,-1.84727634519472
"UI10.00036.Dixieland",-1.185786557,-17.56748684,-0.599395381,-0.767728122,-0.427033456,-1.863125897,-0.89205735,-0.581193673,-0.198172624,-0.034731053,0.194814715,1.464861612,-4.599371256,-0.000186949,-1.19084172930023,-0.250034211304959,-1.88173924724205,-1.00196844548319
"UI10.00038.Emerald.Shadow",1.043485886,11.98069489,0.512876482,0.591904256,0.485986695,0.006593004,0.966603532,0.509324513,0.374646713,-0.041705197,0.204605129,-0.254006799,-1.903646797,0.000152136,0.963893419269584,-0.505058347178803,1.616712931645,0.81101524003936
"UI10.00039.Emmanuel.LePage",-0.671062632,-22.73867329,-0.213842472,-0.124191802,-0.148605925,-0.03884187,-0.917630367,-0.545388947,-0.617409756,-0.040911785,0.204459291,-0.397817468,3.678218415,-0.00000797,-0.952465555496589,-0.665880728573272,-0.657027209187085,-0.80139989097807
"UI10.00042.Giraffe",-1.112138492,-24.17768673,-0.375028024,-0.356224492,-0.151658962,-0.707317617,-1.286601902,-0.790233375,-0.851323287,-0.041705197,0.204605129,1.285139882,2.500270731,-0.000202562,-1.46377641572526,-0.714092839523082,-1.36538441625201,-1.23161436464095
"UI10.00043.Gold.and.Silver",-0.971505548,-22.53500936,-0.434124615,-0.502538687,-1.143902293,-2.540100205,-1.602000658,-0.942741595,-1.23465168,-0.037472089,0.196370482,-0.782266138,2.62680265,0.000343359,-1.78578558860704,2.10481422099649,-1.40247107110287,-1.50255131828926
"UI10.00047.Goliath",0.295925539,17.29439308,0.23846763,0.457482084,-0.144144049,2.752876907,0.564216769,0.46651943,0.399141422,-0.041705197,0.204605129,1.46906971,-0.418078887,-0.000202562,0.79294718998598,0.961274363747347,0.570792843086116,0.667181913242862
"UI10.00048.Gracillimus",-0.137617067,-9.602788533,-0.116683703,-0.021622221,-0.310274706,-1.077160298,-0.015776101,-0.023443981,-0.438760927,-0.042141266,0.205735637,0.626982334,-2.502102085,-0.00000797,-0.0208437730077673,0.343998073807005,-0.180345326461134,-0.0175378493312793
"UI10.00051.Gracillimus.Nana",-1.336714806,-37.15068248,-0.510394408,-0.611260368,-1.222836132,-4.236615479,-1.763686735,-0.999892407,-1.088584127,-0.040911785,0.203650188,-0.358716035,5.012433975,-0.000172883,-1.93416957169772,1.38928662135542,-1.69829667687927,-1.62740088073989
"UI10.00052.Graziella",-2.002466764,-50.38815018,-0.985826428,-0.757689141,-0.517758238,-4.506513284,-2.983687789,-1.269010103,-1.397136209,-0.031148831,0.19722337,-0.413046856,7.486377546,0.000337607,-2.63764233255407,-1.40665404563204,-2.79190762216448,-2.21929944401005
"UI10.00053.Grosse.Fontaine",0.091995085,16.18465645,0.28936657,0.075976045,-0.101728772,0.963337591,0.065053124,0.023564555,-0.079071289,-0.04019175,0.200877944,0.258203851,1.982443551,-0.000202703,0.0464524853976774,0.852494916945298,0.203850796067656,0.0390848955366222
"UI10.00056.Huron.Blush",-1.530595096,-48.2144837,-0.368251646,-0.74283086,-0.629253895,-1.502568102,-2.150684484,-1.091531156,-1.087393837,-0.041705197,0.204605129,-1.048279117,2.886477109,-0.000134911,-2.10429341095574,-0.93140568249556,-1.61425684491714,-1.77054225256971
"UI10.00057.Huron.Sentinel",-1.703036414,-50.15630874,-0.668492077,-0.617881725,-0.391407907,-0.566739865,-1.719928497,-1.153761948,-1.107105131,-0.031148831,0.189943926,0.351834093,1.774609227,-0.000200153,-2.24832478815881,-1.33454615979117,-2.05938720504072,-1.89172955363765
